"name","political","social","overall","age","gender"
"MEP",45.35,34.55,39.95,54,"Female"
"MEP",28.73,34.5,31.615,46,"Male"
"MEP",16.55,34.3,25.425,45,"Male"
"MEP",34.23,34.21,34.22,59,"Male"
"MEP",26.63,34.16,30.395,60,"Male"
"MEP",26.48,33.62,30.05,35,"Female"
"MEP",17.07,33.62,25.345,63,"Female"
"MEP",7.89,33.57,20.73,50,"Male"
"MEP",25.7,33.47,29.585,57,"Female"
"MEP",5.35,33.47,19.41,64,"Female"
"MEP",23.94,33.42,28.68,72,"Male"
"MEP",14.37,33.32,23.845,52,"Male"
"MEP",9.72,33.03,21.375,53,"Female"
"MEP",12.55,32.39,22.47,71,"Female"
"MEP",45.86,32.34,39.1,39,"Male"
"MEP",20.85,32,26.425,54,"Female"
"MEP",23.38,31.95,27.665,59,"Male"
"MEP",29.58,31.9,30.74,51,"Female"
"MEP",55.77,31.85,43.81,37,"Male"
"MEP",43.58,31.7,37.64,43,"Male"
"MEP",20.08,31.65,25.865,60,"Female"
"MEP",33.8,31.6,32.7,64,"Female"
"MEP",37.04,31.41,34.225,71,"Female"
"MEP",23.94,31.41,27.675,63,"Female"
"MEP",62.79,31.36,47.075,54,"Male"
"MEP",47.68,31.16,39.42,53,"Male"
"MEP",19.15,31.06,25.105,77,"Male"
"MEP",19.44,31.01,25.225,63,"Female"
"MEP",15.63,31.01,23.32,55,"Male"
"MEP",7.61,30.82,19.215,49,"Female"
"MEP",31.35,30.47,30.91,36,"Male"
"MEP",26.48,30.38,28.43,43,"Male"
"MEP",19.72,30.38,25.05,73,"Male"
"MEP",26.2,30.23,28.215,46,"Male"
"MEP",26.62,30.08,28.35,65,"Male"
"MEP",32.11,29.89,31,42,"Male"
"MEP",25.63,29.64,27.635,61,"Male"
"MEP",24.93,29.59,27.26,69,"Female"
"MEP",21.97,29.59,25.78,35,"Female"
"MEP",18.87,29.59,24.23,54,"Female"
"MEP",25.21,29.2,27.205,50,"Female"
"MEP",40.85,28.71,34.78,45,"Male"
"MEP",14.44,28.36,21.4,69,"Male"
"MEP",30.93,28.27,29.6,60,"Male"
"MEP",28.31,28.17,28.24,42,"Male"
"MEP",18.99,27.63,23.31,40,"Female"
"MEP",16.2,27.48,21.84,44,"Male"
"MEP",24.23,26.94,25.585,59,"Female"
"MEP",15.49,26.94,21.215,51,"Male"
"MEP",27.32,26.89,27.105,53,"Female"
"MEP",24.03,26.69,25.36,28,"Female"
"MEP",41.13,26.6,33.865,67,"Male"
"MEP",57.7,26.35,42.025,76,"Male"
"MEP",43.75,26.25,35,43,"Male"
"MEP",6.2,26.15,16.175,60,"Male"
"MEP",18.87,26.06,22.465,58,"Female"
"MEP",23.66,25.71,24.685,52,"Male"
"MEP",36.06,25.61,30.835,55,"Male"
"MEP",32.39,25.52,28.955,36,"Male"
"MEP",33.52,25.37,29.445,67,"Female"
"MEP",14.37,25.22,19.795,54,"Male"
"MEP",19.72,25.02,22.37,49,"Female"
"MEP",60.85,24.93,42.89,61,"Female"
"MEP",12.32,24.78,18.55,53,"Female"
"MEP",46.76,24.53,35.645,58,"Female"
"MEP",33.24,24.04,28.64,32,"Male"
"MEP",18.87,23.94,21.405,60,"Male"
"MEP",28.17,23.9,26.035,48,"Female"
"MEP",19.93,23.8,21.865,67,"Male"
"MEP",27.89,23.75,25.82,59,"Male"
"MEP",54.25,23.65,38.95,45,"Male"
"MEP",9.3,23.65,16.475,46,"Female"
"MEP",6.2,23.65,14.925,37,"Female"
"MEP",31.55,23.21,27.38,62,"Male"
"MEP",19.37,23.16,21.265,41,"Male"
"MEP",32.56,22.96,27.76,60,"Female"
"MEP",28.73,22.86,25.795,45,"Male"
"MEP",18.03,22.86,20.445,45,"Male"
"MEP",12.68,22.82,17.75,46,"Male"
"MEP",51.13,22.67,36.9,45,"Male"
"MEP",21.13,22.67,21.9,42,"Male"
"MEP",15.49,22.32,18.905,49,"Male"
"MEP",37.61,22.23,29.92,66,"Female"
"MEP",37.46,22.18,29.82,41,"Female"
"MEP",32.06,21.78,26.92,44,"Female"
"MEP",27.27,21.78,24.525,58,"Male"
"MEP",15.15,21.78,18.465,41,"Male"
"MEP",14.93,21.69,18.31,34,"Male"
"MEP",42.54,21.59,32.065,60,"Male"
"MEP",23.66,21.59,22.625,58,"Female"
"MEP",21.41,21.54,21.475,32,"Female"
"MEP",22.29,21.19,21.74,42,"Male"
"MEP",12.61,20.85,16.73,38,"Male"
"MEP",13.8,20.7,17.25,35,"Male"
"MEP",7.04,20.61,13.825,44,"Male"
"MEP",42.06,20.26,31.16,60,"Male"
"MEP",28.73,20.16,24.445,51,"Male"
"MEP",33.1,19.48,26.29,60,"Male"
"MEP",47.04,19.28,33.16,56,"Male"
"MEP",19.3,19.28,19.29,46,"Female"
"MEP",36.45,18.84,27.645,55,"Female"
"MEP",17.75,18.84,18.295,52,"Male"
"MEP",20.07,18.64,19.355,65,"Female"
"MEP",23.66,18.59,21.125,74,"Male"
"MEP",20.14,18.49,19.315,68,"Male"
"MEP",20.08,18.45,19.265,31,"Male"
"MEP",18.03,18.45,18.24,55,"Male"
"MEP",11.27,18.4,14.835,39,"Male"
"MEP",34.23,18.2,26.215,46,"Male"
"MEP",20.56,18.15,19.355,58,"Male"
"MEP",9.08,18.15,13.615,42,"Male"
"MEP",18.03,18.1,18.065,49,"Male"
"MEP",52.39,17.61,35,64,"Female"
"MEP",24.03,17.56,20.795,36,"Male"
"MEP",41.97,17.51,29.74,53,"Female"
"MEP",22.96,17.41,20.185,58,"Male"
"MEP",18.45,17.32,17.885,55,"Female"
"MEP",16.9,17.27,17.085,39,"Male"
"MEP",58.11,17.17,37.64,46,"Female"
"MEP",29.01,16.43,22.72,33,"Male"
"MEP",41.13,16.19,28.66,69,"Male"
"MEP",17.25,15.79,16.52,55,"Female"
"MEP",9.15,15.65,12.4,62,"Male"
"MEP",4.51,15.34,9.925,68,"Male"
"MEP",16.34,15.3,15.82,54,"Male"
"MEP",24.45,15.25,19.85,46,"Male"
"MEP",21.97,15.24,18.605,69,"Female"
"MEP",24.08,15.2,19.64,47,"Male"
"MEP",20,15.01,17.505,59,"Male"
"MEP",24.37,14.89,19.63,39,"Male"
"MEP",14.65,14.65,14.65,57,"Male"
"MEP",8.45,14.6,11.525,58,"Female"
"MEP",13.45,14.55,14,47,"Male"
"MEP",16.37,14.22,15.295,55,"Male"
"MEP",15.7,14.12,14.91,34,"Female"
"MEP",18.46,13.98,16.22,65,"Male"
"MEP",17.18,13.98,15.58,47,"Male"
"MEP",45.21,13.88,29.545,48,"Female"
"MEP",32.96,13.73,23.345,37,"Male"
"MEP",28.59,13.63,21.11,43,"Male"
"MEP",27.89,13.57,20.73,49,"Male"
"MEP",28.8,13.54,21.17,41,"Male"
"MEP",49.03,13.44,31.235,45,"Female"
"MEP",38.73,13.39,26.06,75,"Male"
"MEP",36.59,13.34,24.965,56,"Female"
"MEP",20.85,13.27,17.06,54,"Male"
"MEP",5.07,13.27,9.17,31,"Male"
"MEP",16.34,13.24,14.79,43,"Female"
"MEP",11.69,13.03,12.36,54,"Female"
"MEP",7.56,12.98,10.27,57,"Male"
"MEP",36.73,12.95,24.84,63,"Male"
"MEP",6.76,12.95,9.855,52,"Male"
"MEP",13.24,12.75,12.995,51,"Male"
"MEP",19.15,12.64,15.895,46,"Male"
"MEP",18.68,12.54,15.61,48,"Male"
"MEP",34.37,12.44,23.405,55,"Male"
"MEP",16.34,12.39,14.365,52,"Male"
"MEP",34.08,12.29,23.185,58,"Male"
"MEP",50.7,12.26,31.48,42,"Male"
"MEP",18.87,12.24,15.555,55,"Male"
"MEP",19.72,12.09,15.905,56,"Male"
"MEP",22.2,11.33,16.765,52,"Female"
"MEP",30.7,11.28,20.99,46,"Female"
"MEP",30.42,11.21,20.815,50,"Male"
"MEP",27.69,11.18,19.435,42,"Female"
"MEP",24.51,11.03,17.77,48,"Male"
"MEP",27.04,10.74,18.89,58,"Male"
"MEP",29.86,10.69,20.275,49,"Female"
"MEP",20.37,10.54,15.455,62,"Female"
"MEP",16.34,10.49,13.415,52,"Female"
"MEP",28.66,10.47,19.565,47,"Male"
"MEP",7.04,10.44,8.74,46,"Female"
"MEP",19.15,10.39,14.77,46,"Male"
"MEP",25.92,10.33,18.125,33,"Female"
"MEP",14.65,10.25,12.45,49,"Female"
"MEP",30.7,9.93,20.315,64,"Female"
"MEP",9.72,9.75,9.735,31,"Male"
"MEP",34.08,9.69,21.885,60,"Male"
"MEP",25.39,9.39,17.39,66,"Female"
"MEP",33.38,9.26,21.32,69,"Male"
"MEP",23.1,9.17,16.135,58,"Female"
"MEP",7.64,9.05,8.345,59,"Male"
"MEP",39.79,9,24.395,54,"Female"
"MEP",33.8,8.9,21.35,44,"Female"
"MEP",20.85,8.9,14.875,67,"Male"
"MEP",31.55,8.82,20.185,52,"Male"
"MEP",20.7,8.76,14.73,32,"Male"
"MEP",39.44,8.72,24.08,70,"Male"
"MEP",11.69,8.71,10.2,57,"Male"
"MEP",43.03,8.48,25.755,58,"Male"
"MEP",23.66,8.48,16.07,40,"Male"
"MEP",8.45,8.46,8.455,55,"Female"
"MEP",17.22,8.28,12.75,32,"Male"
"MEP",19.44,8.17,13.805,35,"Female"
"MEP",12.96,8.09,10.525,63,"Male"
"MEP",15.77,8.04,11.905,32,"Male"
"MEP",18.87,7.97,13.42,64,"Male"
"MEP",37.46,7.94,22.7,58,"Female"
"MEP",33.52,7.94,20.73,62,"Male"
"MEP",4.51,7.82,6.165,30,"Male"
"MEP",4.72,7.79,6.255,64,"Male"
"MEP",19.58,7.77,13.675,42,"Male"
"MEP",17.76,7.77,12.765,50,"Female"
"MEP",12.96,7.77,10.365,37,"Female"
"MEP",14.03,7.64,10.835,52,"Female"
"MEP",49.01,7.55,28.28,43,"Male"
"MEP",27.89,7.55,17.72,54,"Male"
"MEP",19.86,7.48,13.67,39,"Female"
"MEP",20,7.43,13.715,68,"Male"
"MEP",30,7,18.5,42,"Female"
"MEP",45.63,6.51,26.07,69,"Male"
"MEP",37.46,6.1,21.78,35,"Male"
"MEP",19.72,6.1,12.91,68,"Male"
"MEP",27.32,6.02,16.67,70,"Male"
"MEP",44.23,5.91,25.07,49,"Female"
"MEP",17.18,5.91,11.545,39,"Female"
"MEP",16.9,5.83,11.365,51,"Male"
"MEP",20.85,5.73,13.29,66,"Male"
"MEP",8.45,5.71,7.08,51,"Male"
"MEP",15.77,5.68,10.725,48,"Female"
"MEP",12.96,5.61,9.285,52,"Male"
"MEP",8.8,5.47,7.135,55,"Male"
"MEP",26.2,5.37,15.785,39,"Female"
"MEP",21.13,5.32,13.225,65,"Male"
"MEP",5.92,5.29,5.605,50,"Male"
"MEP",12.11,5.24,8.675,54,"Female"
"MEP",9.86,5.07,7.465,46,"Female"
"MEP",31.06,4.93,17.995,45,"Male"
"MEP",37.75,4.89,21.32,57,"Male"
"MEP",28.8,4.84,16.82,73,"Male"
"MEP",20.56,4.8,12.68,65,"Male"
"MEP",25.63,4.48,15.055,36,"Male"
"MEP",12.11,4.24,8.175,63,"Male"
"MEP",18.59,4.21,11.4,45,"Male"
"MEP",14.17,4.14,9.155,40,"Male"
"MEP",40,3.91,21.955,33,"Male"
"MEP",30.42,3.91,17.165,53,"Male"
"MEP",19.72,3.86,11.79,41,"Male"
"MEP",12.54,3.75,8.145,61,"Male"
"MEP",18.63,3.57,11.1,58,"Female"
