"name","political","social","overall","age","gender"
"MEP",51.63,11.68,31.65,57,"Male"
"MEP",0.93,62.32,31.63,65,"Male"
"MEP",25.12,38.12,31.62,52,"Male"
"MEP",35.81,27.29,31.55,46,"Female"
"MEP",21.86,41.22,31.54,37,"Male"
"MEP",31.16,31.86,31.51,42,"Female"
"MEP",10.7,52.2,31.45,68,"Female"
"MEP",34.42,28.41,31.41,60,"Female"
"MEP",7.91,54.39,31.15,59,"Male"
"MEP",39.07,23.17,31.12,42,"Male"
"MEP",32.09,30.03,31.06,62,"Male"
"MEP",18.14,43.97,31.05,29,"Female"
"MEP",26.98,35.02,31,56,"Female"
"MEP",26.51,35.42,30.97,43,"Male"
"MEP",17.67,43.61,30.64,58,"Female"
"MEP",14.88,46.25,30.57,46,"Male"
"MEP",19.53,41.58,30.55,56,"Male"
"MEP",41.86,19,30.43,46,"Female"
"MEP",38.6,22.1,30.35,73,"Male"
"MEP",42.79,17.58,30.18,69,"Male"
"MEP",27.91,32.07,29.99,58,"Male"
"MEP",27.44,32.53,29.98,38,"Male"
"MEP",38.14,21.64,29.89,66,"Female"
"MEP",56.28,3.32,29.8,43,"Male"
"MEP",13.95,45.49,29.72,57,"Female"
"MEP",21.86,37.51,29.68,49,"Female"
"MEP",26.51,32.73,29.62,49,"Female"
"MEP",23.72,34.66,29.19,39,"Male"
"MEP",34.88,23.42,29.15,33,"Male"
"MEP",24.65,33.54,29.1,49,"Male"
"MEP",23.26,34.86,29.06,49,"Male"
"MEP",27.91,30.14,29.02,32,"Female"
"MEP",44.65,13.36,29,67,"Female"
"MEP",12.56,45.34,28.95,45,"Female"
"MEP",27.44,30.34,28.89,54,"Male"
"MEP",23.26,34.36,28.81,42,"Male"
"MEP",6.05,51.39,28.72,44,"Male"
"MEP",0,57.34,28.67,59,"Male"
"MEP",23.26,33.95,28.6,64,"Female"
"MEP",25.12,32.07,28.59,40,"Male"
"MEP",30.7,26.47,28.59,62,"Male"
"MEP",33.02,24.14,28.58,66,"Male"
"MEP",23.26,33.8,28.53,62,"Female"
"MEP",25.12,31.61,28.37,64,"Female"
"MEP",26.98,29.68,28.33,32,"Male"
"MEP",28.14,28.15,28.15,55,"Male"
"MEP",19.53,36.64,28.09,37,"Female"
"MEP",30.23,25.66,27.95,69,"Female"
"MEP",13.02,42.75,27.88,45,"Male"
"MEP",14.88,40.71,27.8,55,"Male"
"MEP",48.84,6.75,27.79,39,"Male"
"MEP",24.19,31.36,27.77,63,"Male"
"MEP",46.98,8.51,27.74,39,"Male"
"MEP",12.09,43.05,27.57,38,"Male"
"MEP",28.37,26.73,27.55,58,"Male"
"MEP",19.53,35.47,27.5,32,"Female"
"MEP",17.67,37.31,27.49,57,"Female"
"MEP",36.74,18.24,27.49,41,"Male"
"MEP",5.12,49.71,27.42,64,"Female"
"MEP",17.67,37.1,27.39,34,"Female"
"MEP",34.88,19.61,27.25,43,"Male"
"MEP",34.42,20.02,27.22,58,"Male"
"MEP",18.14,36.29,27.21,56,"Male"
"MEP",32.56,21.69,27.13,58,"Male"
"MEP",34.42,19.81,27.12,58,"Female"
"MEP",19.53,34.1,26.82,54,"Female"
"MEP",16.74,36.8,26.77,53,"Female"
"MEP",37.21,16,26.61,62,"Male"
"MEP",53.02,0,26.51,58,"Male"
"MEP",19.53,33.44,26.49,50,"Female"
"MEP",20.23,32.68,26.45,60,"Male"
"MEP",19.53,33.34,26.43,55,"Male"
"MEP",19.53,33.34,26.43,52,"Male"
"MEP",23.26,29.12,26.19,51,"Male"
"MEP",16.28,36.08,26.18,48,"Female"
"MEP",12.56,39.75,26.15,58,"Male"
"MEP",24.65,27.03,25.84,45,"Male"
"MEP",29.3,22.15,25.73,52,"Female"
"MEP",27.91,23.37,25.64,43,"Female"
"MEP",26.98,23.83,25.41,50,"Male"
"MEP",19.53,31.2,25.37,50,"Male"
"MEP",33.02,17.73,25.37,55,"Male"
"MEP",39.07,11.58,25.32,62,"Female"
"MEP",34.42,16.1,25.26,49,"Female"
"MEP",43.26,7.25,25.26,40,"Male"
"MEP",7.91,42.49,25.2,55,"Male"
